product_id,product_name,category,price,stock_quantity
PROD00001,Self-enabling tertiary model,Apparel,392.98,572
PROD00002,Enterprise-wide object-oriented methodology,Apparel,130.62,792
PROD00003,Extended stable synergy,Books,369.21,121
PROD00004,Persistent encompassing productivity,Home,226.06,102
PROD00005,Public-key reciprocal throughput,Toys,203.28,628
PROD00006,Optional non-volatile superstructure,Books,354.86,5
PROD00007,Self-enabling analyzing model,Toys,412.51,445
PROD00008,Exclusive high-level Local Area Network,Toys,135.23,38
PROD00009,Digitized disintermediate collaboration,Books,465.69,533
PROD00010,User-friendly systemic task-force,Home,481.95,655
PROD00011,Innovative intermediate installation,Toys,10.3,292
PROD00012,Intuitive asymmetric productivity,Books,393.06,237
PROD00013,Expanded incremental flexibility,Books,338.64,0
PROD00014,Horizontal secondary complexity,Grocery,47.99,361
PROD00015,Function-based systemic policy,Electronics,205.7,754
PROD00016,Front-line impactful encoding,Books,459.99,849
PROD00017,Customizable coherent core,Apparel,293.55,231
PROD00018,Assimilated dynamic website,Toys,101.29,4
PROD00019,Integrated maximized matrix,Electronics,206.53,515
PROD00020,Realigned intermediate interface,Apparel,473.77,897
PROD00021,Stand-alone 5thgeneration customer loyalty,Grocery,397.73,989
PROD00022,Diverse encompassing challenge,Apparel,244.4,984
PROD00023,Assimilated empowering utilization,Electronics,342.39,493
PROD00024,Grass-roots stable neural-net,Home,38.44,693
PROD00025,Enhanced secondary analyzer,Apparel,401.08,528
PROD00026,Up-sized mobile toolset,Apparel,351.91,95
PROD00027,Ameliorated analyzing artificial intelligence,Toys,375.65,953
PROD00028,Intuitive real-time framework,Toys,160.37,275
PROD00029,Cloned incremental hierarchy,Home,374.35,510
PROD00030,Synchronized stable array,Apparel,121.26,211
PROD00031,Object-based uniform challenge,Apparel,418.3,159
PROD00032,Front-line bifurcated orchestration,Books,64.34,504
PROD00033,User-centric motivating capability,Electronics,383.3,868
PROD00034,Programmable static paradigm,Toys,312.23,889
PROD00035,Vision-oriented multi-tasking extranet,Toys,95.52,286
PROD00036,Proactive background encoding,Toys,376.33,818
PROD00037,Right-sized bottom-line throughput,Apparel,470.13,403
PROD00038,Intuitive full-range paradigm,Electronics,389.07,715
PROD00039,User-centric human-resource workforce,Grocery,-16.97,594
PROD00040,User-friendly value-added encoding,Home,183.99,561
PROD00041,Optimized didactic circuit,Apparel,138.36,374
PROD00042,Customer-focused context-sensitive data-warehouse,Apparel,214.85,373
PROD00043,Grass-roots leadingedge installation,Home,143.42,589
PROD00044,Function-based optimizing approach,Home,408.02,568
PROD00045,Pre-emptive national hub,Books,193.54,153
PROD00046,Total bifurcated functionalities,Home,9.82,914
PROD00047,Quality-focused interactive leverage,Grocery,260.92,307
PROD00048,Synergized dynamic focus group,Electronics,429.96,707
PROD00049,Digitized high-level leverage,Books,111.66,98
PROD00050,Universal holistic function,Toys,170.65,570
PROD00051,Ameliorated secondary portal,Books,-44.06,986
PROD00052,Automated user-facing protocol,Toys,290.54,178
PROD00053,Business-focused system-worthy toolset,Toys,145.88,499
PROD00054,Synchronized disintermediate extranet,Toys,226.23,293
PROD00055,Reactive human-resource function,Books,478.51,827
PROD00056,Sharable tangible hierarchy,Grocery,213.8,869
PROD00057,Synergized bottom-line monitoring,Apparel,44.16,324
PROD00058,Front-line leadingedge info-mediaries,Grocery,356.66,277
PROD00059,Advanced hybrid extranet,Books,391.58,601
PROD00060,Innovative background system engine,Electronics,227.89,128
PROD00061,Front-line exuding database,Books,332.7,767
PROD00062,Diverse leadingedge product,Electronics,87.62,959
PROD00063,Intuitive zero administration project,Electronics,-30.55,106
PROD00064,Open-source 5thgeneration focus group,Grocery,81.86,316
PROD00065,Configurable zero-defect matrix,Home,370.11,134
PROD00066,Phased user-facing installation,Apparel,89.45,881
PROD00067,Managed transitional interface,Toys,432.8,957
PROD00068,Cross-platform cohesive standardization,Books,225.2,552
PROD00069,Fundamental motivating architecture,Books,300.8,898
PROD00070,Multi-channeled intangible portal,Apparel,264.11,930
PROD00071,Upgradable neutral support,Grocery,272.14,315
PROD00072,Inverse logistical solution,Electronics,133.6,535
PROD00073,Assimilated well-modulated application,Grocery,424.73,547
PROD00074,,Grocery,461.43,306
PROD00075,,Home,218.07,815
PROD00076,,Toys,189.95,447
PROD00077,Open-architected dedicated product,Grocery,85.82,848
PROD00078,Integrated foreground orchestration,Home,135.18,529
PROD00079,Configurable bifurcated complexity,Books,455.43,278
PROD00080,Fully-configurable multi-state structure,Grocery,372.75,192
PROD00081,Visionary solution-oriented task-force,Books,95.29,466
